geoid,2020 median income,2020 median income margin of error,2020 race: total households,2020 race: total households margin of error,2020 race: White,2020 race: Black,2020 race: Asian,2020 race: Other,2020 race: 2 or more races
48029181505,70109,9834,5087,672,4134,92,142,51,647
48029181506,41549,6831,4461,520,3491,350,211,116,292
48029181601,56156,9041,3636,762,2536,141,0,504,455
48029181602,47083,11486,6747,1259,4425,330,147,106,1605
48029181703,103300,27410,7876,1564,6886,87,206,492,194
48029181704,65625,13217,6472,1445,4608,311,257,421,864
48029181705,53143,8494,6167,949,3722,604,1243,144,454
48029181711,79904,14392,8967,1455,6202,368,951,54,1307
48029181712,82109,11298,4471,624,3528,172,61,308,393
48029181713,62684,17625,7933,1417,5775,224,47,461,1354
48029181715,66167,10765,7733,1969,4995,172,91,474,2001
48029181716,64866,17187,9457,1380,7824,199,21,135,1267
48029181718,76891,5234,4968,600,4080,108,63,278,437
48029181720,119318,21868,5911,1783,4965,174,72,429,264
48029181721,107857,10419,3569,413,3002,64,43,84,281
48029181722,88798,13176,5014,618,4155,391,60,175,193
48029181723,76944,10235,4414,590,3100,246,144,470,396
48029181724,114620,14780,5312,518,4028,162,282,355,467
48029181725,48482,6932,5440,1225,3689,296,47,892,500
48029181726,104746,10177,11131,1418,7807,490,314,1136,1271
48029181727,57357,6567,4066,603,3121,285,33,177,450
48029181729,106863,5093,8643,803,5948,863,236,679,707
48029181730,63438,9474,4126,483,2904,324,55,336,458
